Saniye	Robot-1	Robot-2	Robot-3	Robot-4	Robot-5	Robot-6	Robot-7	Robot-8	Robot-9
1     	0	0	0	1	1	0	0	0	0
2     	1	0	1	1	0	0	0	0	0
3     	0	0	1	0	0	1	1	0	0
4     	0	0	0	0	0	0	0	0	0
5     	0	1	1	0	1	1	0	1	1
6     	0	0	0	0	0	0	1	1	1
7     	0	1	0	0	0	0	0	0	0
8     	0	1	1	1	0	0	0	1	0
9     	0	0	0	0	0	0	1	0	0
10    	0	0	0	1	0	0	0	0	0
11    	0	0	0	1	0	0	0	0	0
12    	0	0	1	0	1	0	0	0	0
13    	0	0	0	0	1	0	0	0	1
14    	1	0	0	0	0	0	0	1	0
15    	0	0	1	0	1	0	0	1	0
16    	0	0	0	0	1	1	0	1	1
17    	0	0	0	1	1	0	0	0	0
18    	0	1	0	0	0	0	0	0	0
19    	0	0	0	0	0	1	0	0	1
20    	1	0	0	0	0	0	0	0	0
21    	1	0	0	0	0	0	1	0	0
22    	1	0	1	0	0	0	0	0	0
23    	1	0	1	1	0	0	0	1	1
24    	0	0	1	1	0	0	1	0	1
25    	0	0	1	0	1	1	0	0	0
26    	1	0	0	0	0	1	0	1	0
27    	1	0	0	1	0	0	0	1	0
28    	0	0	1	0	1	0	0	1	0
29    	0	0	0	0	0	0	0	0	0
30    	0	0	0	0	0	1	0	0	0
31    	0	0	0	0	0	1	0	0	0
32    	0	0	1	0	0	0	0	0	0
33    	0	0	1	1	1	0	0	1	0
34    	1	1	0	0	0	0	0	1	0
35    	0	0	0	0	0	0	0	1	0
36    	0	1	1	0	0	0	0	0	0
37    	0	0	0	0	0	0	1	0	1
38    	0	0	1	0	0	0	0	0	0
39    	0	0	1	0	0	0	0	1	1
40    	0	0	1	1	1	0	0	0	0
41    	0	0	0	0	0	0	0	0	0
42    	0	1	0	1	0	1	0	0	0
43    	0	1	1	0	0	0	0	0	0
44    	0	0	0	0	0	0	1	0	0
45    	0	0	0	1	0	0	0	0	0
46    	0	1	0	0	0	0	1	0	1
47    	0	0	1	1	0	0	1	0	1
48    	0	1	1	1	0	0	1	0	0
49    	1	0	0	1	0	0	1	0	0
50    	1	1	1	1	0	0	0	0	0
51    	0	1	0	0	1	0	0	0	0
52    	0	1	0	0	1	0	0	1	0
53    	1	1	1	0	1	0	1	0	0
54    	0	0	0	0	1	0	1	0	0
55    	1	0	1	0	1	0	0	0	0
56    	1	0	1	0	0	0	1	1	0
57    	0	1	0	0	1	0	1	1	0
58    	0	0	0	0	0	0	1	0	0
59    	1	0	0	0	0	0	0	1	0
60    	1	0	0	0	0	0	0	0	0
